date,daily_loss,var95,var99,hit95,hit99,rolling_breach95,rolling_breach99,uce95
2020-01-31,142183.0013062262,131542.56415595926,186034.0853523059,1,0,0.05,0.0,0.0
2020-02-03,154597.7911880972,138049.38772326126,195236.36127462017,1,0,0.06666666666666667,0.0,0.016666666666666663
2020-02-04,-216707.1654616298,157922.4713202027,223341.8718658809,0,0,0.05,0.0,0.0
2020-02-05,-26319.493593119572,166378.86109075343,235301.3219985529,0,0,0.05,0.0,0.0
2020-02-06,-28346.01404121806,164603.46451154727,232790.4671975271,0,0,0.05,0.0,0.0
2020-02-07,-11446.218866005926,159243.95856738347,225210.78534579865,0,0,0.05,0.0,0.0
2020-02-10,64041.359146734074,154350.1418700295,218289.70456091533,0,0,0.05,0.0,0.0
2020-02-11,-57240.67927500771,152207.2273094553,215259.0874156398,0,0,0.05,0.0,0.0
2020-02-12,-86810.73709564908,149406.15128206523,211297.6653458984,0,0,0.05,0.0,0.0
2020-02-13,-24693.05504090372,148979.69387408113,210694.54791128632,0,0,0.05,0.0,0.0
2020-02-14,74865.32232164891,150627.48135864755,213024.9315366416,0,0,0.05,0.0,0.0
2020-02-17,48056.572227783785,147174.3226913108,208141.30152398095,0,0,0.05,0.0,0.0
2020-02-18,39429.99669482979,144382.5771165499,204193.0750478631,0,0,0.05,0.0,0.0
2020-02-19,-101417.75381598793,141646.68086412895,200323.83348180627,0,0,0.05,0.0,0.0
2020-02-20,35601.63872759158,141829.89157330536,200582.9392467507,0,0,0.05,0.0,0.0
2020-02-24,216900.90504857345,139282.84561528967,196980.7792296482,1,1,0.06666666666666667,0.016666666666666666,0.016666666666666663
2020-02-25,41147.831618325356,150853.9339297747,213345.19210945032,0,0,0.06666666666666667,0.016666666666666666,0.016666666666666663
2020-02-26,135046.90823226835,149450.8870755381,211360.9329465768,0,0,0.06666666666666667,0.016666666666666666,0.016666666666666663
2020-02-27,37429.66167009257,149516.82160530862,211454.1808623195,0,0,0.06666666666666667,0.016666666666666666,0.016666666666666663
2020-02-28,365341.4295608393,149565.0117543281,211522.33378569724,1,1,0.08333333333333333,0.03333333333333333,0.033333333333333326
2020-03-02,63448.777725036634,185101.1521094283,261779.32406356808,0,0,0.08333333333333333,0.03333333333333333,0.033333333333333326
2020-03-03,-194939.3804575777,178822.09239795734,252899.1631985945,0,0,0.08333333333333333,0.03333333333333333,0.033333333333333326
2020-03-04,-5766.191411088924,184475.23736841057,260894.12407449292,0,0,0.08333333333333333,0.03333333333333333,0.033333333333333326
2020-03-05,-10670.422333404356,184816.92513043937,261377.35602829425,0,0,0.08333333333333333,0.03333333333333333,0.033333333333333326
2020-03-06,202410.82012389618,176268.07337209012,249287.14151954112,1,0,0.1,0.03333333333333333,0.05
2020-03-09,571182.7778375527,181014.00774770608,255999.07971517337,1,1,0.11666666666666667,0.05,0.06666666666666667
2020-03-11,50132.76026600078,251202.00235978808,355262.45856257214,0,0,0.11666666666666667,0.05,0.06666666666666667
2020-03-12,886408.7167008312,243929.3803074078,344977.1520512631,1,1,0.13333333333333333,0.06666666666666667,0.08333333333333333
2020-03-13,-339314.9156869805,348584.8867730455,492986.2132045326,0,0,0.13333333333333333,0.06666666666666667,0.08333333333333333
2020-03-16,753509.8800195925,345087.1210871254,488039.4977110947,1,1,0.15,0.08333333333333333,0.09999999999999999
2020-03-17,205371.4361846648,397543.2837960159,562225.6314029252,0,0,0.15,0.08333333333333333,0.09999999999999999
2020-03-18,284284.25585521513,393801.8938197777,556934.3702309859,0,0,0.15,0.08333333333333333,0.09999999999999999
2020-03-19,378831.5715906827,410789.1149091158,580958.5494638435,0,0,0.15,0.08333333333333333,0.09999999999999999
2020-03-20,-693338.7775567308,426046.68056567747,602536.5633168797,0,0,0.15,0.08333333333333333,0.09999999999999999
2020-03-23,1410663.4934640476,473478.67008619366,669617.2595425327,1,1,0.16666666666666666,0.1,0.11666666666666665
2020-03-24,-394668.729188346,619639.3176549096,876324.9709165397,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-03-25,-460222.89270365576,607529.9208804957,859199.2552400127,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-03-26,-314538.3876817271,601519.8679328393,850699.5372193836,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-03-27,13309.759762340995,583210.139158041,824805.0013516633,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-03-30,318952.6120340337,561162.806779906,793624.5591902822,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-03-31,-407105.5802050211,555279.9991606692,785304.7978889078,0,0,0.16666666666666666,0.1,0.11666666666666665
2020-04-01,352480.6723187238,548627.1639096917,775896.0249274216,0,0,0.15,0.1,0.09999999999999999
2020-04-03,109867.5899586096,534701.2718360616,756201.3305807222,0,0,0.15,0.1,0.09999999999999999
2020-04-07,-935033.597132464,527409.1948775318,745888.5099663215,0,0,0.15,0.1,0.09999999999999999
2020-04-08,-48684.60650059021,588720.2735733232,832597.709534696,0,0,0.15,0.1,0.09999999999999999
2020-04-09,-387873.77887969196,552124.2829282035,780841.8258714083,0,0,0.15,0.1,0.09999999999999999
2020-04-13,189059.45202919608,538188.3420006769,761132.9199320169,0,0,0.15,0.1,0.09999999999999999
2020-04-15,81830.62683254863,520443.376385505,736037.100422883,0,0,0.15,0.1,0.09999999999999999
2020-04-16,-78775.92692337639,499337.81823130173,706188.5625578923,0,0,0.15,0.1,0.09999999999999999
2020-04-17,-332862.89895067806,478878.356487855,677253.766610552,0,0,0.15,0.1,0.09999999999999999
2020-04-20,93731.8347335807,470654.67714089865,665623.4272192064,0,0,0.15,0.1,0.09999999999999999
2020-04-21,345833.1938022828,458451.1478165988,648364.5845739886,0,0,0.15,0.1,0.09999999999999999
2020-04-22,-165214.76199422695,461341.4764963151,652452.2322167777,0,0,0.15,0.1,0.09999999999999999
2020-04-23,-147689.94324473615,446772.04056688066,631847.4059035409,0,0,0.15,0.1,0.09999999999999999
2020-04-24,215263.91103462593,433879.98851574434,613614.819918643,0,0,0.15,0.1,0.09999999999999999
2020-04-27,-146391.22744095337,426868.0692874143,603698.2124039831,0,0,0.15,0.1,0.09999999999999999
2020-04-28,-94057.07099926476,411791.6483958386,582376.3825541002,0,0,0.15,0.1,0.09999999999999999
2020-04-29,-88955.32868867292,399458.3105723639,564933.958225114,0,0,0.15,0.1,0.09999999999999999
2020-04-30,-297986.6375166313,389005.0436452136,550150.4243612745,0,0,0.15,0.1,0.09999999999999999
2020-05-04,546987.2384868333,392196.36366569775,554663.749039767,1,0,0.16666666666666666,0.1,0.11666666666666665
2020-05-05,124411.61336072849,414668.1335561972,586444.4519981649,0,0,0.15,0.1,0.09999999999999999
2020-05-06,-33363.46768572767,402366.1348337377,569046.3489961236,0,0,0.13333333333333333,0.1,0.08333333333333333
2020-05-07,94113.48451520898,388644.3948767827,549640.3768021518,0,0,0.13333333333333333,0.1,0.08333333333333333
2020-05-08,-63925.34456546464,375502.20005870063,531054.0263824884,0,0,0.13333333333333333,0.1,0.08333333333333333
2020-05-11,13409.16283401336,367304.768288912,519460.80762994464,0,0,0.13333333333333333,0.1,0.08333333333333333
2020-05-12,7768.835939069142,357752.0950968299,505950.93855173886,0,0,0.13333333333333333,0.1,0.08333333333333333
2020-05-13,-176768.88804601628,345735.32620309107,488956.2218653113,0,0,0.13333333333333333,0.1,0.08333333333333333
